-	PONfbl	-
-	PONfrt	-
-,	PONfbl	-,
,	PONfbl	,
;	PONfbl	.´|.´?|;
;	PONfrt	.´
:	PONfbl	:
:	PONfrt	:
:	PONpga	‘
!	PONfrt	!
?	PONfrt	?|??
.	PONfrt	.
...	PONfrt	...
'	PONfbl	'
'	PONpdr	’
‘	PONpga	‘
’	PONpdr	’
"	PONpdr	"
“	PONpga	“
”	PONpdr	”
«	PONpga	«
»	PONpdr	»
(	PONpga	(
)	PONpdr	)
[	PONpga	[
]	PONpdr	]
*	PONfbl	*
*Amide	NOMpro	amide
*Besus	NOMpro	besus
*Celonniers	NOMpro	celonniers
*Defurét	NOMpro	defurét
*Dorobelle	ETR	dorobelle
*Fouchiers	NOMpro	fouchiers
*Frarine	NOMpro	frarine|frarinne
*Frelconis	NOMpro	frelconis
*Frumenin	NOMpro	frumenin
*Morechiers	NOMpro	morechiers
*Quivres	NOMpro	quivres
*Racon	NOMpro	racon
*Viliques	NOMpro	viliques
à	PRE	a|ab|ad|as|à
à.certes	ADVgen	acertes|adecertes
à.le	PRE.DETdef	al|al'|als|as|au|aulx|aus|aux|ax|az
à.le	PRE.PROper	au
à.le	PRE.PROrel	auquel
à.le	PRE.DETcom	audict|audit|ausdicts
à.ledit	PRE.DETcom	audict|audictz|audit|ausdictes|ausdiz
à.lequel	PRE.PROrel	al|asquelx|auquel|ausquelz|auxquels|az
à.lequel	PRE.DETrel	al|auquel
à.les	PRE.DETdef	as|au|aus
aaise	NOMcom	aaise|aeise|aiese
aaise	ADJqua	aeise
aaisement	NOMcom	adaisement
aaiser	VERinf	aeisier
aaiser	VERppe	aeisiee|aeisiez|aeisié|aesié|aiesiez
aaiser	VERcjg	aeise|aeisent|aeiseré
aancrer	VERppe	aencré
Aardenburg	NOMpro	airdenborc
Aaron	NOMpro	aaron
aate	ADJqua	aates
aatine	NOMcom	ahatine
abaisser	VERinf	abaisier|abaissier|abassier|abeissier|abessier
abaisser	VERcjg	abaise|abaissat|abaisse|abeissa|abeisse|abeissent|abeissera|abessa|abesse|abessent|abessera
abaisser	VERppe	abaissie|abaissiet|abeissiez|abeissié|abessiee|abessiees|abessiez|abessié
abaisser	VERppa	abaissanz
abandon	NOMcom	abandon|abandun
abandonnément	ADVgen	abandonnéement
abandonner	VERppe	abandonee|abandonees|abandonnee|abandonnees|abandonnez|abandonné|abandonnés|abandoné|habandonnees|habandonnez|habandonné|habandonnéz
abandonner	VERcjg	abandon|abandona|abandone|abandonna|abandonnassent|abandonnast|abandonnastes|abandonne|abandonnerent|abandonnés|abandonoient|abandunent|abandunet|habandonne
abandonner	VERinf	abandonner|habandonner
abandonner	VERppa	abandunant
abattre	VERcjg	abat|abate|abatent|abati|abatied|abatiet|abatirent|abatist|abatié|abatoit|abatreit|abatront|abbati
abattre	VERinf	abatre
abattre	VERppa	abatant
abattre	VERppe	abatu|abatue|abatues|abatut|abatuz|abbatu
abbaye	NOMcom	abaïe|abaïes|abbaye|abbeie|abbeïe|abeie|abeies|abeye|abeïe|abeïes|abeÿe|abie
abbé	NOMcom	abbas|abbeis|abbes|abbet|abbez|abbé|abbés|abeit|abes|abet|abez|abé|abés|abéz
