bon	Adj	boen|boens|boin|boine|boins|bon|bon'|bone|bones|bonne|bonnes|bons|bonä|boune|buen|buons|bóne|tresbon|tresbonne
sénéchal	N	ceneschal|senechal|senescal|senescaus|seneschal|seneschaus
de	Pre	d|d'|de
Hainaut	N	hainau|hainnau|hainon|haynau|hennaut
,	Pnc	,
preux	Adj	preu|preude|preus|preux|preuz|prou|prous|proux|prouz|proz|pruz
et	Crd	e|ed|et|é
sage	Adj	sage|sages|sagëz|saige|saiges|saigë|saigëz|saive|seives|seves
valoir	Vprs	vailant|vaillans|vaillant|vaillanz|vaillent|vaillians|vaillissant|valisant|vallans|vallant
en	Pre	am|an|e|em|en|in
fait	N	faict|fais|fait|faitz|faiz|fes|fet|fez
gentil	Adj	gentiex|gentil|gentile|gentill|gentils|gentilz|gentis|gentius|gentiux|gentix|gentiz|jentis|jentius
lignage	N	lignage|lignages|lignaige|lignaiges|linage|lynaige|lyngnaige
loyal	Adj	leal|leals|leaus|loial|loiale|loiaus|loyal|loyale|loyaulx|loyaulz|loyaus|loyaux|loyel|loyelle
courtois	Adj	corteis|corteise|cortois|cortoise|cortoizes|courtois|courtoise|curteis|curteise
courage	N	corage|corages|coraige|coraiges|coraje|corrage|courage|courages|couraige|couraiges
duire	Vpp	doit|duis|duit|duites|duyt
apprendre	Vpp	appris|apprise|aprins|apris|aprise
tout	QIs	toit|tolz|tor|tos|tot|tote|totes|toth|totä|totäs|tou|toult|toulte|toultes|toulz|tous|tout|toute|toutes|toutte|touttes|toutëz|touz|toz|tuit|tus|tut|tute|tutes|tutä|tuz
le	Det	l|l'|la|las|le|les|lez|li|lis|ll'|llos|lo|los|lou|ls|lu|ly|lé|lëz|u
bien	N	ben|bien|biens
qui	Qux	chi|chi'|cui|ki|ku'|kui|qi|qui|qui'|quil|quy
être	Vfin	eire|emes|er|ere|eren|erent|eret|ert|erä|es|esmes|est|esteient|esteies|esteit|esterez|estes|estez|estiez|estions|estiés|estoie|estoient|estoit|estout|estoye|estoyent|estoys|estras|estunt|estut|estëz|etiez|ez|feu|feusse|feussent|feusses|feussiens|feussiez|feussiés|feussons|feust|fo|fos|fu|fud|fui|fuisce|fuisse|fuissent|fuissez|fuissiés|fuist|fumes|fura|furae|fure|furent|furä|furét|fus|fusces|fusmes|fusse|fussent|fusses|fussez|fussiez|fussiés|fust|fustes|fustez|fut|futes|futez|fuxienz|fuz|fúd|ierc|iere|ierent|iert|ies|iestes|iestez|iez|ist|ié|iért|iés|ost|s|sarai|saray|sariés|saroie|saroit|saront|saroye|saré|sarés|seez|seie|seient|seies|seiez|seit|seium|sera|serad|serai|serait|seran|seras|serat|seray|serchoit|sereie|sereit|sereiz|serez|seriez|seriiez|seriom|seriés|seroie|seroient|seroies|seroit|seroiz|seron|serons|seront|seroye|seroys|seroyt|serra|serrai|serras|serrat|serreie|serreient|serreit|serrez|serriez|serroit|serroms|serrunt|serunt|seré|serés|seréz|sia|soi|soie|soient|soienz|soies|soiez|soiiez|soiiés|soions|soit|soiés|soiéz|somes|sommes|son|sons|sont|soy|soye|soyent|soyes|soyez|soyons|soys|st|sui|suis|sumes|sun|sunmes|suns|sunt|suy|suys|sëez|yere|yerent|yert|ért
comprendre	Vpp	comprins|compris|comprises
par	Pre	par|per
noblesse	N	noblaces|noblece|noblesse
coeur	N	ceur|coer|coers|coeur|cor|cors|cue|cuer|cuers|cueur|cueurs|curs|cœur|quer|quers|queur|queurs|quor
en.le	Pre+Det	el|ell|es|eu|eul|o|on|ou|où|u|ès
lacs	N	las|laz
amour	N	amor|amors|amour|amours|amur|amurs
pour	Pre	por|pour|pur
accroître	Vinf	accroistre|acroistre
prix	N	pris
votre	Det	vo|vos|vostre|vostres|votre|vous|voustre|voz
à	Pre	a|ad|ai|à|á
juger	Vinf	judicar|juger|jugier
de.le	Pre+Det	das|del|dels|des|deu|dez|do|dol|dou|du
mal	N	mal|mals|malz|mauls|maulx|maulz|maus|maux|mauz|max|mel|miel
blesser	Vfin	blece|blecent|bleche|blesce|blescerez|blesse
quel	Qux	keix|qels|qex|qual|quals|quei|queil|queiz|quel|quele|quelle|quelles|quels|quelx|quelz|ques|queus|quex|quiel|quieulx|quieus|quiex|yquelles
tour	N	tor|tors|tour|tours|tur
force	N	force|forces|forche
ou	Crd	o|ou|u|ú
faiblesse	N	feblece|foiblece
ce	Prn	c|c'|ce|cen|ceo|ceu|ch|ch'|che|cho|chou|chu|cio|co|cou|cë|ice|iceo|iche|iseu|iço|içou|içó|se|seu|sou|zo|ç'|ço|ço'|çou|çó|íçó
vous	Prn	ous|vo|vos|vous|vouz|voz|vus|vuus
avoir	Vfin	a|ad|aez|ag|agre|ai|aiam|aie|aiens|aient|aies|aiet|aiez|aiiés|aions|aira|ais|ait|aiä|aiäs|aiés|aiéz|an|ant|ara|arai|aras|aray|arez|arient|ariez|arions|ariés|aroie|aroient|aroit|aroiz|aron|aront|aroyt|arés|as|at|aud|augrent|aura|aurai|auran|auras|auray|aurem|aurent|auret|aurez|auriés|auroie|auroient|auroit|auroiz|aurons|auront|auroye|aus|aussent|aust|aut|av'|avait|aveez|aveie|aveien|aveient|aveis|aveit|aveiz|avem|avera|averad|averai|averas|avereit|averez|averiés|averoit|averons|averum|averunt|averés|avez|aviez|aviiez|avions|aviés|avoie|avoient|avoies|avois|avoit|avom|avomes|avon|avons|avoye|avoyent|avoyt|avra|avrad|avrai|avrais|avrait|avras|avrat|avray|avreit|avrez|avriez|avrion|avroi|avroie|avroient|avroit|avroiz|avrons|avront|avrum|avrunt|avré|avrés|avrïez|avum|avums|avuns|avés|avéz|avïez|aweron|awra|awret|ay|aye|ayent|ayes|ayez|ayons|ayt|ayés|aëz|eie|eiez|eit|euc|euch|euisse|euissiez|euist|eult|eumes|eurent|eus|euscent|euse|eusse|eussent|eusses|eussiez|eussions|eussiés|eussons|eust|eustes|eut|euz|ey|eüsse|eüssent|eüst|eüstes|ha|haiez|havoie|hont|o|oc|oct|og|oi|on|ont|orent|ot|oth|ou|ourent|ousse|oussum|out|oy|oüssent|oüsses|un|unt|urent|ust|áí|é|óut
cher	Adj	cars|cher|chere|chers|cherä|chier|chiere|chieres|chiers|chir|cier|cieres|ker|kers|trescher
sire	N	sire|sires
plein	Adj	plain|plaine|plaines|plainne|plainnes|plains|plainz|plein|pleine|pleines|pleinne|pleins|plene|ploin|ploinne|ploins
humblesse	N	umblece
élire	Vpp	alite|aslites|elleu|eslauz|esleu|esleus|eslieus|eslis|eslit|eslite|esliz
juge	N	juge|juges
.	Pnc	.
car	Crd	car|cor|kar|kor|qar|quar|quer
bien	Adv	bein|ben|bien|biens|tresbien
savoir	Vfin	ceit|sa|sab|sabent|sace|sacent|sacet|sacez|sache|saches|sachet|sachez|sachiez|sachiés|sachiéz|sachés|saciés|sacés|sai|saice|saicent|saiche|saichent|saiches|saichiez|saichiés|saiciés|sais|sait|saivent|sarai|sarez|sariez|saroie|saroit|saura|saurions|sauroient|sauront|saurra|saveient|saveit|saveiz|saveras|savereie|saverez|saveriez|saverunt|savez|saviez|saviés|savoie|savoient|savoies|savoit|savommez|savons|savonz|savoye|savoys|savra|savrai|savrais|savrait|savras|savrat|savrez|savriez|savroie|savroient|savroit|savroiz|savront|savré|savrés|savréz|savum|savés|savéz|say|says|scay|sceit|sces|scet|sceuissent|sceuist|sceusse|sceussiez|sceussons|sceust|sceut|scevent|scez|sceü|sceüsse|sceüssent|sehust|seis|seit|seivent|ses|set|seu|seuist|seurent|seusez|seusmes|seust|seut|sevent|sez|seümes|seüsse|seüssent|seüst|seüt|soi|sorent|sos|sot|soth|sourent|sout|sowrent|suht|sçachiés|sçai|sçara|sçaroit|sçaura|sçauray|sçauront|sçavez|sçavoir|sçavois|sçavoit|sçavons|sçavés|sçay|sçet|sçeusse|sçeut|sçot|sçurent|sés
que	Sub	c|c'|ce|ch'|che|k|k'|ke|q|q'|qe|qu|qu'|quae|que|qued|quen|quer|quet|quæ|quë
droit	N	dreit|droict|drois|droit|droiz
juger	Vfin	iugie|juge|jugent|jugerad|jugerai|jugereie|jugeroiz|jugeroye
où	Qux	o|ou|où|u|unt|ut|ú
il	Prn	el|i|il|ill|ils|ilz|y
afférir	Vfin	afferoit|affiere|affiert|afiere|afiert|afïiert
;	Pnc	;
venir	Vfin	vandrait|vanra|ve|veg|veggrä|vegnent|veignent|veigniez|veinc|veingne|veint|vendra|vendrad|vendras|vendreit|vendrez|vendroie|vendroit|vendroiz|vendrons|vendront|vendrum|vendruns|vendrunt|veneie|veneient|veneit|veneiz|venent|venez|veng|vengre|vengren|vengrä|vengues|venimes|venins|venissent|venisses|venissiez|venist|venistes|venites|venoient|venois|venoit|venons|venoyent|venra|venrai|venrant|venras|venray|venroie|venroit|venront|venrrai|venrras|venrrez|vent|venuns|venés|venéz|verrai|viegne|viegnent|viegnes|viegniez|vieigne|vieing|vien|viendra|viendriez|vienent|vieng|vienge|viengez|viengne|viengnes|vienne|viennent|viens|vient|vign|vignent|vignet|vigniés|vin|vindre|vindrent|ving|vingnet|vinrent|vins|vint|vinç
refuge	N	reffuge|refuge
ainsi	Adv	ainnssy|ainsi|ainsin|ainsinc|ainsinques|ainsint|ainsiz|ainssi|ainssy|ainsy|ansi|asi|einsi|einsinc|einsint|eisi|eissi|ensi|ensic|ensinc|ensis|ensist|enssi|esi|issi
comme	Sub	com|come|comm|comme|commë|con|conme|cu|cum|cume|cumme|quom
temps	N	tamps|tans|tanz|temps|tens|tiemps
déluge	N	deluge
noyer	Vfin	nit|noies|noya|noyay
colombe	N	coulomb
blanc	Adj	blanc|blance|blances|blanche|blanches|blancs|blanque|blans|blanz
arche	N	arche|archez
se	Prn	c|c'|ce|s|s'|se|ses|si|ss'
avoyer	Vfin	aveiat|avoya
là	Adv	la|lai|là
attendre	Vfin	actendez|actendoye|actens|actent|atande|atandoit|atans|atant|aten|atenc|atende|atendeiz|atendent|atendereiz|atendez|atendi|atendit|atendoit|atendra|atendrai|atendroit|atendrum|atendré|atendés|atendéz|atens|atent|attenderay|attendez|attendi|attendirent|attendist|attendoie|attendoit|attendons|attendreit|attendés|attens|attent
tant	QIs	itant|ta|tam|tan|tant|tant'|tante|tantes|tanz|taunt|ytant
soleil	N	solat|solaus|solaz|soleas|soleil|soleilz|solel|solell|solelz|soloil|souleil
rayer2	Vfin	raie|roya
auques	Adv	aikes|aiques|alkes|alkettes|alques|auques
mon	Det	m|m'|ma|mas|may|me|men|mes|meu'|mez|mi|mien|mis|mo|mon|mos|mun|my|més|mëz
cil	Dem	ceals|ceaus|ceaz|cel|cela|cele|celes|celi|celle|celles|cellui|celluy|cels|celui|celuy|celz|celä|ceuls|ceulx|ceulz|ceus|ceux|ceuz|cex|chel|chele|cheli|chelui|ches|cheus1|chiaus|chieus|chiex|chil|chile|chils|chilz|chius|cialz|ciaulz|ciaus|ciax|ciel|ciel'|ciels|cieus|cil|cillä|cils|cilz|colui|céle|iceals|icel|icele|iceli|icelle|icelles|icellui|icels|icelui|iceols|iceulz|iceux|icex|ichel|ichil|iciaux|icil|sele|selui|seulz|siax|sil|silz|ycelle|ycellui|yceulz|çolui|ícel
voie	N	veie|voe|voie|voies|voye|véies
